date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:59	23424/23424	---M--	200	added ('OK')	font/woff	date:Mon,%2007%20Dec%202015%2001:25:04%20GMT	https://www.nzog.com/vendor/twbs/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.woff	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/vendor/twbs/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.woff	(from https://www.nzog.com/themes/nz-oil-gas/css/bootstrap.css)
11:23:00	45233/45233	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:40%20GMT	https://www.nzog.com/sustainability/materiality/managing-environmental-footprint/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/sustainability/materiality/managing-environmental-footprint/index.html	(from https://www.nzog.com/)
11:23:00	48341/48341	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:40%20GMT	https://www.nzog.com/sustainability/materiality/transparency/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/sustainability/materiality/transparency/index.html	(from https://www.nzog.com/)
11:23:01	45404/45404	---M-Z	200	added ('OK')	font/truetype	date:Mon,%2007%20Dec%202015%2001:25:04%20GMT	https://www.nzog.com/vendor/twbs/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.ttf	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/vendor/twbs/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.ttf	(from https://www.nzog.com/themes/nz-oil-gas/css/bootstrap.css)
11:23:01	49491/49491	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:40%20GMT	https://www.nzog.com/sustainability/materiality/climate-change/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/sustainability/materiality/climate-change/index.html	(from https://www.nzog.com/)
11:23:01	46644/46644	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:41%20GMT	https://www.nzog.com/sustainability/materiality/local-benefits/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/sustainability/materiality/local-benefits/index.html	(from https://www.nzog.com/)
11:23:01	46123/46123	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:41%20GMT	https://www.nzog.com/sustainability/materiality/safety/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/sustainability/materiality/safety/index.html	(from https://www.nzog.com/)
11:23:02	108738/108738	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2007%20Dec%202015%2001:25:04%20GMT	https://www.nzog.com/vendor/twbs/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.svg	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/vendor/twbs/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.svg	(from https://www.nzog.com/themes/nz-oil-gas/css/bootstrap.css)
11:23:02	46842/46842	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:42%20GMT	https://www.nzog.com/sustainability/materiality/business-ethics-and-transparency/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/sustainability/materiality/business-ethics-and-transparency/index.html	(from https://www.nzog.com/)
11:23:02	44489/44489	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:43%20GMT	https://www.nzog.com/sustainability/materiality/materiality-matrix/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/sustainability/materiality/materiality-matrix/index.html	(from https://www.nzog.com/)
11:23:03	27916/27916	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2007%20Dec%202015%2001:25:06%20GMT	https://www.nzog.com/themes/nz-oil-gas/fonts/geogrotesque-regular-webfont.eot	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/themes/nz-oil-gas/fonts/geogrotesque-regular-webfont.eot	(from https://www.nzog.com/themes/nz-oil-gas/css/bootstrap.css)
11:23:03	43681/43681	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:43%20GMT	https://www.nzog.com/sustainability/materiality/investing-for-the-future/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/sustainability/materiality/investing-for-the-future/index.html	(from https://www.nzog.com/)
11:23:03	43769/43769	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:44%20GMT	https://www.nzog.com/sustainability/feedback-and-comments/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/sustainability/feedback-and-comments/index.html	(from https://www.nzog.com/)
11:23:03	27916/27916	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2007%20Dec%202015%2001:25:06%20GMT	https://www.nzog.com/themes/nz-oil-gas/fonts/geogrotesque-regular-webfont.eot?	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/themes/nz-oil-gas/fonts/geogrotesque-regular-webfontd41d.eot	(from https://www.nzog.com/themes/nz-oil-gas/css/bootstrap.css)
11:23:04	64401/64401	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:44%20GMT	https://www.nzog.com/news/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/news/index.html	(from https://www.nzog.com/)
11:23:04	30484/30484	---M--	200	added ('OK')	font/woff	date:Mon,%2007%20Dec%202015%2001:25:06%20GMT	https://www.nzog.com/themes/nz-oil-gas/fonts/geogrotesque-regular-webfont.woff	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/themes/nz-oil-gas/fonts/geogrotesque-regular-webfont.woff	(from https://www.nzog.com/themes/nz-oil-gas/css/bootstrap.css)
11:23:04	249/249	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Dec%202017%2018:22:45%20GMT	https://www.nzog.com/investor-information/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/investor-information/index.html	(from https://www.nzog.com/)
11:23:04	50412/50412	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:45%20GMT	https://www.nzog.com/takeover-news/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/takeover-news/index.html	(from https://www.nzog.com/)
11:23:05	64224/64224	---M-Z	200	added ('OK')	font/truetype	date:Mon,%2007%20Dec%202015%2001:25:06%20GMT	https://www.nzog.com/themes/nz-oil-gas/fonts/geogrotesque-regular-webfont.ttf	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/themes/nz-oil-gas/fonts/geogrotesque-regular-webfont.ttf	(from https://www.nzog.com/themes/nz-oil-gas/css/bootstrap.css)
11:23:05	274/274	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Dec%202017%2018:22:45%20GMT	https://www.nzog.com/investor-information/shareholders-information/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/investor-information/shareholders-information/index.html	(from https://www.nzog.com/)
11:23:05	108565/108565	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2007%20Dec%202015%2001:25:06%20GMT	https://www.nzog.com/themes/nz-oil-gas/fonts/geogrotesque-regular-webfont.svg	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/themes/nz-oil-gas/fonts/geogrotesque-regular-webfont.svg	(from https://www.nzog.com/themes/nz-oil-gas/css/bootstrap.css)
11:23:05	290/290	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Dec%202017%2018:22:46%20GMT	https://www.nzog.com/investor-information/shareholders-information/annual-meetings/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/investor-information/shareholders-information/annual-meetings/index.html	(from https://www.nzog.com/)
11:23:05	28932/28932	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2007%20Dec%202015%2001:25:06%20GMT	https://www.nzog.com/themes/nz-oil-gas/fonts/geogrotesque-semibold-webfont.eot	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/themes/nz-oil-gas/fonts/geogrotesque-semibold-webfont.eot	(from https://www.nzog.com/themes/nz-oil-gas/css/bootstrap.css)
11:23:05	293/293	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Dec%202017%2018:22:46%20GMT	https://www.nzog.com/investor-information/shareholders-information/investor-briefings/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/investor-information/shareholders-information/investor-briefings/index.html	(from https://www.nzog.com/)
